Original Term,Full Name,Standardized Abbreviation
mask_spo2_pre,Mask for peripheral oxygen saturation (Pre),mask_SpO2 (Pre)
mask_sti_pre,Mask for ST segment elevation in lead I (Pre),mask_STI (Pre)
mask_stii_pre,Mask for ST segment elevation in lead II (Pre),mask_STII (Pre)
mask_stiii_pre,Mask for ST segment elevation in lead III (Pre),mask_STIII (Pre)
mask_stv5_pre,Mask for ST segment elevation in lead V5 (Pre),mask_STV5 (Pre)
mask_svi_pre,Mask for stroke volume index (Pre),mask_SVI (Pre)
mask_etco2_pre,Mask for end tidal concentration of carbon dioxide (Pre),mask_EtCO2 (Pre)
mask_peep_pre,Mask for positive end expiratory pressure (Pre),mask_PEEP (Pre)
mask_pip_pre,Mask for peak inspiratory pressure (Pre),mask_P(peak) (Pre)
mask_pmean_pre,Mask for mean airway pressure (Pre),mask_P(mean) (Pre)
mask_pplat_pre,Mask for plateau pressure (Pre),mask_P(plat) (Pre)
mask_rr_pre,Mask for respiration rate (Pre),mask_RR (Pre)
mask_vt_pre,Mask for tidal volume (Pre),mask_VT (Pre)
mask_dobui_pre,Mask for rate of dobutamine continuous infusion (Pre),mask_M_dobui (Pre)
mask_dopai_pre,Mask for rate of dopamine continuous infusion (Pre),mask_M_dopai (Pre)
mask_eph_pre,Mask for injected dose of Ephedrine (Pre),mask_M_eph (Pre)
mask_epi_pre,Mask for injected dose of Epinephrine (Pre),mask_M_epi (Pre)
mask_epii_pre,Mask for rate of epinephrine continuous infusion (Pre),mask_M_epii (Pre)
mask_mlni_pre,Mask for rate of milrinone continuous infusion (Pre),mask_M_mlni (Pre)
mask_nepi_pre,Mask for rate of norepinephrine continuous infusion (Pre),mask_M_nepi (Pre)
mask_ntgi_pre,Mask for rate of nitroglycerin continuous infusion (Pre),mask_M_ntgi (Pre)
mask_phe_pre,Mask for injected dose of phenylephrine (Pre),mask_M_phe (Pre)
mask_vaso_pre,Mask for injected dose of vasopressin (Pre),mask_M_vaso (Pre)
mask_VIS_pre,Mask for Vasoactive-Inotropic Score (Pre),mask_Vasoactive-inotropic score (Pre)
mask_aft_pre,Mask for infused dose of alfentanil (Pre),mask_M_aft (Pre)
mask_ftn_pre,Mask for injected dose of fentanyl (Pre),mask_M_ftn (Pre)
mask_rfti_pre,Mask for target concentration of remifentanil (Pre),mask_M_rfti (Pre)
mask_sft_pre,Mask for injected dose of sufentanil (Pre),mask_M_sft (Pre)
mask_mdz_pre,Mask for injected dose of midazolam (Pre),mask_M_mdz (Pre)
mask_ppf_pre,Mask for injected dose of propofol (Pre),mask_M_ppf (Pre)
mask_ppfi_pre,Mask for target concentration of propofol (Pre),mask_M_ppfi (Pre)
mask_cryo_pre,Mask for transfused cryoprecipitate (Pre),mask_T_Cryo (Pre)
mask_ffp_pre,Mask for transfused fresh frozen plasma (Pre),mask_T_FFP (Pre)
mask_pc_pre,Mask for transfused platelet concentrate (Pre),mask_T_Platelet_c (Pre)
mask_pheresis_pre,Mask for transfused platelet pheresis (Pre),mask_T_Platelet_p (Pre)
mask_psa_pre,Mask for infused volume of plasma solution (Pre),mask_T_Plasma (Pre)
mask_rbc_pre,Mask for transfused red blood cell (Pre),mask_T_RBC (Pre)
mask_d10w_pre,Mask for infused volume of Dextrose 10% water (Pre),mask_L_Dextrose10% (Pre)
mask_d50w_pre,Mask for infused volume of Dextrose 50% water (Pre),mask_L_Dextrose50% (Pre)
mask_d5w_pre,Mask for infused volume of Dextrose 5% water (Pre),mask_L_Dextrose5% (Pre)
mask_hns_pre,Mask for infused volume of half normal saline (Pre),mask_L_Normal_saline(half) (Pre)
mask_hs_pre,Mask for infused volume of Hartman solution (Pre),mask_L_Hartman_solution (Pre)
mask_ns_pre,Mask for infused volume of normal saline (Pre),mask_L_Normal_saline (Pre)
mask_TCI_pre,Mask for target-controlled infusion (Pre),mask_L_Cumulative_Crystalloid (Pre)
mask_alb20_pre,Mask for infused volume of albumin 20% (Pre),mask_L_Albumin20% (Pre)
mask_alb5_pre,Mask for infused volume of albumin 5% (Pre),mask_L_Albumin5% (Pre)
mask_alb_pre,Mask for albumin (Pre),mask_L_Albumin% (Pre)
mask_hes_pre,Mask for infused volume of Hydroxyethyl-starch solution (Pre),mask_L_HES (Pre)
mask_ebl_pre,Mask for estimated blood loss (Pre),mask_Blood_loss (Pre)
mask_uo_pre,Mask for urine output (Pre),mask_Urine_output (Pre)
mask_crrt_pre,Mask for use of hemodialysis or continuous renal replacement therapy (Pre),mask_CRRT (Pre)
mask_ecmo_pre,Mask for use of extracorporeal membrane oxygenator (Pre),mask_ECMO (Pre)
mask_iabp_pre,Mask for intra-aortic balloon pump (Pre),mask_IABP (Pre)
mask_vent_pre,Mask for use of mechanical ventilation (Pre),mask_Vent (Pre)
mask_gcs_e_pre,"Mask for Glasgow Coma Scale, eye response (Pre)",mask_GCS_E (Pre)
mask_gcs_m_pre,"Mask for Glasgow Coma Scale, motor response (Pre)",mask_GCS_M (Pre)
mask_gcs_v_pre,"Mask for Glasgow Coma Scale, verbal response (Pre)",mask_GCS_V (Pre)
