Original Term,Full Name,Standardized Abbreviation
mask_crp_pre,Mask for High-sensitive C-reactive Protein (Pre),mask_hs-CRP (Pre)
mask_hba1c_pre,Mask for Hemoglobin A1c (Pre),mask_HbA1c (Pre)
mask_troponin_i_pre,Mask for Troponin-I (Pre),mask_TnI (Pre)
mask_troponin_t_pre,Mask for Troponin-T (Pre),mask_TnT (Pre)
age,Age,Age
sex,Sex,Sex
weight,Weight,Weight
height,Height,Height
asa___1,American Society of Anesthesiologists Classification 1,ASA_1
asa___2,American Society of Anesthesiologists Classification 2,ASA_2
asa___3,American Society of Anesthesiologists Classification 3,ASA_3
asa___4,American Society of Anesthesiologists Classification 4,ASA_4
asa___5,American Society of Anesthesiologists Classification 5,ASA_5
asa___6,American Society of Anesthesiologists Classification 6,ASA_6
emop,Emergency Operation,Emergency Operation
bmi,Body Mass Index,BMI
Surgery_Bones_and_Joints,Surgery of Bones and Joints,Surgery_Bones_Joints
Surgery_Central_Nervous_System_and_Cranial_Nerves,Surgery of Central Nervous System and Cranial Nerves,Surgery_CNS
Surgery_Endocrine_System,Surgery of Endocrine System,Surgery_Endocrine_System
Surgery_Gastrointestinal_System,Surgery of Gastrointestinal System,Surgery_Gastrointestinal
Surgery_Head_and_Neck,Surgery of Head and Neck,Surgery_Head_Neck
Surgery_Heart_and_Great_Vessels,Surgery of Heart and Great Vessels,Surgery_Heart_Vessels
Surgery_Hepatobiliary_System_and_Pancreas,Surgery of Hepatobiliary System and Pancreas,Surgery_Hepatobiliary
Surgery_Lymphatic_and_Hemic_Systems,Surgery of Lymphatic and Hemic Systems,Surgery_Lymphatic_Hemic
Surgery_Other,Other Surgery,Surgery_Other
Surgery_Peripheral_Vascular_System,Surgery of Peripheral Vascular System,Surgery_Peripheral_Vascular
Surgery_Respiratory_System,Surgery of Respiratory System,Surgery_Respiratory
Surgery_Skin_and_Soft_Tissue,Surgery of Skin and Soft Tissue,Surgery_Skin_Soft_Tissue
Surgery_Urinary_and_Reproductive_Systems,Surgery of Urinary and Reproductive Systems,Surgery_Urinary_Reproductive
Essential_Hypertension,Essential Hypertension,Hypertension
Coronary_Heart_Disease,Coronary Heart Disease,Coronary heart disease
Congestive_Heart_Failure,Congestive Heart Failure,Congestive heart failure
Atrial_Fibrillation_and_Flutter,Atrial Fibrillation and Flutter,Atrial fibrillation and flutter
Abnormalities_of_Heart_Beat,Abnormalities of Heart Beat,Arrhythmia
Diabetes_Mellitus,Diabetes Mellitus,Diabetes
Cerebral_Infarction,Cerebral Infarction,Cerebral infarction
Transient_Cerebral_Ischemic_Attacks,Transient Cerebral Ischemic Attacks,Transient cerebral ischemic attacks
Emphysema_or_COPD,Emphysema or Chronic Obstructive Pulmonary Disease,Emphysema or COPD
Asthma,Asthma,Asthma
Acute_Upper_Respiratory_Infections,Acute Upper Respiratory Infections,Acute upper respiratory infections
Acute_Lower_Respiratory_Infections,Acute Lower Respiratory Infections,Acute lower respiratory infection
Abnormalities_of_Breathing,Abnormalities of Breathing,Abnormalities of breathing
Malignant_Neoplasms,Malignant Neoplasms,Malignant neoplasms
In_Situ_Neoplasms,In Situ Neoplasms,In situ neoplasms
Benign_Neoplasms,Benign Neoplasms,Benign neoplasms
Neoplasms_of_Uncertain_Behavior,Neoplasms of Uncertain Behavior,Uncertain behavior neoplasms
Chronic_Kidney_Disease,Chronic Kidney Disease,Chronic kidney disease
Chronic_Viral_Hepatitis,Chronic Viral Hepatitis,Chronic viral hepatitis
Liver_Disease,Liver Disease,Liver disease
Gastro_Esophageal_Reflux_Disease,Gastroesophageal Reflux Disease,Gastro-esophageal reflux disease
Anemia,Anemia,Anemia
Disorder_of_Thyroid,Disorder of Thyroid,Thyroid_Disorder
