Original Term,Full Name,Standardized Abbreviation
mlni_post,Rate of milrinone continuous infusion (Post),M_mlni (Post)
nepi_post,Rate of norepinephrine continuous infusion (Post),M_nepi (Post)
ntgi_post,Rate of nitroglycerin continuous infusion (Post),M_ntgi (Post)
phe_post,Injected dose of phenylephrine (Post),M_phe (Post)
vaso_post,Injected dose of vasopressin (Post),M_vaso (Post)
VIS_post,Vasoactive-inotropic score (Post),Vasoactive-inotropic score (Post)
aft_post,Infused dose of alfentanil (Post),M_aft (Post)
ftn_post,Injected dose of fentanyl (Post),M_ftn (Post)
rfti_post,Target concentration of remifentanil (Post),M_rfti (Post)
sft_post,Injected dose of sufentanil (Post),M_sft (Post)
mdz_post,Injected dose of midazolam (Post),M_mdz (Post)
ppf_post,Injected dose of propofol (Post),M_ppf (Post)
ppfi_post,Target concentration of propofol (Post),M_ppfi (Post)
cryo_post,Transfused cryoprecipitate (Post),T_Cryo (Post)
ffp_post,Transfused fresh frozen plasma (Post),T_FFP (Post)
pc_post,Transfused platelet concentrate (Post),T_Platelet_c (Post)
pheresis_post,Transfused platelet pheresis (Post),T_Platelet_p (Post)
psa_post,Infused volume of plasma solution (Post),T_Plasma (Post)
rbc_post,Transfused red blood cell (Post),T_RBC (Post)
d10w_post,Infused volume of Dextrose 10% water (Post),L_Dextrose10% (Post)
d50w_post,Infused volume of Dextrose 50% water (Post),L_Dextrose50% (Post)
d5w_post,Infused volume of Dextrose 5% water (Post),L_Dextrose5% (Post)
hns_post,Infused volume of half normal saline (Post),L_Normal_saline(half) (Post)
hs_post,Infused volume of Hartman solution (Post),L_Hartman_solution (Post)
ns_post,Infused volume of normal saline (Post),L_Normal_saline (Post)
TCI_post,Target-controlled infusion (Post),L_Cumulative_Crystalloid (Post)
alb20_post,Infused volume of albumin 20% (Post),L_Albumin20% (Post)
alb5_post,Infused volume of albumin 5% (Post),L_Albumin5% (Post)
alb_post,Albumin (Post),L_Albumin% (Post)
hes_post,Infused volume of Hydroxyethyl-starch solution (Post),L_HES (Post)
ebl_post,Estimated blood loss (Post),Blood_loss (Post)
uo_post,Urine output (Post),Urine_output (Post)
crrt_post,Use of hemodialysis or continuous renal replacement therapy (Post),CRRT (Post)
ecmo_post,Use of extracorporeal membrane oxygenator (Post),ECMO (Post)
iabp_post,Intra-aortic balloon pump (Post),IABP (Post)
vent_post,Use of mechanical ventilation (Post),Vent (Post)
gcs_e_post,"Glasgow Coma Scale, eye response (Post)",GCS_E (Post)
gcs_m_post,"Glasgow Coma Scale, motor response (Post)",GCS_M (Post)
gcs_v_post,"Glasgow Coma Scale, verbal response (Post)",GCS_V (Post)
dt_post,Delta time (Post),Delta_time (Post)
mask_air_post,Mask for flow of medical air (Post),mask_Air (Post)
mask_etdes_post,Mask for end tidal concentration of desflurane (Post),mask_EtDes (Post)
mask_etgas_post,Mask for end tidal concentration of anesthetic agent (Post),mask_EtGas (Post)
mask_etiso_post,Mask for end tidal concentration of isoflurane (Post),mask_EtIso (Post)
mask_etsevo_post,Mask for end tidal concentration of sevoflurane (Post),mask_EtSevo (Post)
mask_fio2_post,Mask for fraction of inspired oxygen (Post),mask_FiO2 (Post)
mask_n2o_post,Mask for flow of nitrous oxide (Post),mask_N2O (Post)
mask_o2_post,Mask for flow of oxygen (Post),mask_O2 (Post)
mask_art_dbp_post,Mask for arterial diastolic blood pressure (Post),mask_DBP (Post)
mask_art_mbp_post,Mask for arterial mean blood pressure (Post),mask_MBP (Post)
mask_art_sbp_post,Mask for arterial systolic blood pressure (Post),mask_SBP (Post)
mask_bis_post,Mask for bispectral index (Post),mask_BIS (Post)
mask_bt_post,Mask for body temperature (Post),mask_Temperature (Post)
mask_cbro2_post,Mask for cerebral regional oxygen saturation (Post),mask_crSO2 (Post)
mask_ci_post,Mask for cardiac index (Post),mask_CI (Post)
mask_cvp_post,Mask for central venous pressure (Post),mask_CVP (Post)
mask_hr_post,Mask for heart rate (Post),mask_HR (Post)
mask_minvol_post,Mask for minute ventilation (Post),mask_MV (Post)
mask_pap_dbp_post,Mask for pulmonary artery diastolic blood pressure (Post),mask_PA_DBP (Post)
mask_pap_mbp_post,Mask for pulmonary artery mean blood pressure (Post),mask_PA_MBP (Post)
mask_pap_sbp_post,Mask for pulmonary artery systolic blood pressure (Post),mask_PA_SBP (Post)
mask_spo2_post,Mask for peripheral oxygen saturation (Post),mask_SpO2 (Post)
mask_sti_post,Mask for ST segment elevation in lead I (Post),mask_STI (Post)
mask_stii_post,Mask for ST segment elevation in lead II (Post),mask_STII (Post)
mask_stiii_post,Mask for ST segment elevation in lead III (Post),mask_STIII (Post)
mask_stv5_post,Mask for ST segment elevation in lead V5 (Post),mask_STV5 (Post)
mask_svi_post,Mask for stroke volume index (Post),mask_SVI (Post)
mask_etco2_post,Mask for end tidal concentration of carbon dioxide (Post),mask_EtCO2 (Post)
mask_peep_post,Mask for positive end expiratory pressure (Post),mask_PEEP (Post)
mask_pip_post,Mask for peak inspiratory pressure (Post),mask_P(peak) (Post)
mask_pmean_post,Mask for mean airway pressure (Post),mask_P(mean) (Post)
mask_pplat_post,Mask for plateau pressure (Post),mask_P(plat) (Post)
mask_rr_post,Mask for respiration rate (Post),mask_RR (Post)
mask_vt_post,Mask for tidal volume (Post),mask_VT (Post)
mask_dobui_post,Mask for rate of dobutamine continuous infusion (Post),mask_M_dobui (Post)
mask_dopai_post,Mask for rate of dopamine continuous infusion (Post),mask_M_dopai (Post)
mask_eph_post,Mask for injected dose of Ephedrine (Post),mask_M_eph (Post)
mask_epi_post,Mask for injected dose of Epinephrine (Post),mask_M_epi (Post)
mask_epii_post,Mask for rate of epinephrine continuous infusion (Post),mask_M_epii (Post)
mask_mlni_post,Mask for rate of milrinone continuous infusion (Post),mask_M_mlni (Post)
mask_nepi_post,Mask for rate of norepinephrine continuous infusion (Post),mask_M_nepi (Post)
mask_ntgi_post,Mask for rate of nitroglycerin continuous infusion (Post),mask_M_ntgi (Post)
mask_phe_post,Mask for injected dose of phenylephrine (Post),mask_M_phe (Post)
mask_vaso_post,Mask for injected dose of vasopressin (Post),mask_M_vaso (Post)
mask_VIS_post,Mask for Vasoactive-Inotropic Score (Post),mask_Vasoactive-inotropic score (Post)
mask_aft_post,Mask for infused dose of alfentanil (Post),mask_M_aft (Post)
mask_ftn_post,Mask for injected dose of fentanyl (Post),mask_M_ftn (Post)
mask_rfti_post,Mask for target concentration of remifentanil (Post),mask_M_rfti (Post)
mask_sft_post,Mask for injected dose of sufentanil (Post),mask_M_sft (Post)
mask_mdz_post,Mask for injected dose of midazolam (Post),mask_M_mdz (Post)
mask_ppf_post,Mask for injected dose of propofol (Post),mask_M_ppf (Post)
mask_ppfi_post,Mask for target concentration of propofol (Post),mask_M_ppfi (Post)
mask_cryo_post,Mask for transfused cryoprecipitate (Post),mask_T_Cryo (Post)
mask_ffp_post,Mask for transfused fresh frozen plasma (Post),mask_T_FFP (Post)
mask_pc_post,Mask for transfused platelet concentrate (Post),mask_T_Platelet_c (Post)
mask_pheresis_post,Mask for transfused platelet pheresis (Post),mask_T_Platelet_p (Post)
mask_psa_post,Mask for infused volume of plasma solution (Post),mask_T_Plasma (Post)
mask_rbc_post,Mask for transfused red blood cell (Post),mask_T_RBC (Post)
mask_d10w_post,Mask for infused volume of Dextrose 10% water (Post),mask_L_Dextrose10% (Post)
mask_d50w_post,Mask for infused volume of Dextrose 50% water (Post),mask_L_Dextrose50% (Post)
mask_d5w_post,Mask for infused volume of Dextrose 5% water (Post),mask_L_Dextrose5% (Post)
mask_hns_post,Mask for infused volume of half normal saline (Post),mask_L_Normal_saline(half) (Post)
mask_hs_post,Mask for infused volume of Hartman solution (Post),mask_L_Hartman_solution (Post)
mask_ns_post,Mask for infused volume of normal saline (Post),mask_L_Normal_saline (Post)
mask_TCI_post,Mask for target-controlled infusion (Post),mask_L_Cumulative_Crystalloid (Post)
mask_alb20_post,Mask for infused volume of albumin 20% (Post),mask_L_Albumin20% (Post)
mask_alb5_post,Mask for infused volume of albumin 5% (Post),mask_L_Albumin5% (Post)
mask_alb_post,Mask for albumin (Post),mask_L_Albumin% (Post)
mask_hes_post,Mask for infused volume of Hydroxyethyl-starch solution (Post),mask_L_HES (Post)
mask_ebl_post,Mask for estimated blood loss (Post),mask_Blood_loss (Post)
mask_uo_post,Mask for urine output (Post),mask_Urine_output (Post)
mask_crrt_post,Mask for use of hemodialysis or continuous renal replacement therapy (Post),mask_CRRT (Post)
mask_ecmo_post,Mask for use of extracorporeal membrane oxygenator (Post),mask_ECMO (Post)
mask_iabp_post,Mask for intra-aortic balloon pump (Post),mask_IABP (Post)
mask_vent_post,Mask for use of mechanical ventilation (Post),mask_Vent (Post)
mask_gcs_e_post,"Mask for Glasgow Coma Scale, eye response (Post)",mask_GCS_E (Post)
mask_gcs_m_post,"Mask for Glasgow Coma Scale, motor response (Post)",mask_GCS_M (Post)
mask_gcs_v_post,"Mask for Glasgow Coma Scale, verbal response (Post)",mask_GCS_V (Post)
